Disease,Symptoms
Heart Failure,"Refractory, mild swollen legs, characteristically mild rapid heartbeat, moderate shortness of breath, swollen ankles, apparently moderate liver enlargement, occasionally mild reduced exercise tolerance, occasionally moderate ascites, provoked by deep breathing."
COPD,"Initially presenting with shortness of breath, persistent cough, chest tightness, Later developing morning cough, difficulty breathing."
Pneumothorax,"Tension rapid breathing (significantly sudden), along with sudden sharp chest pain, intense decreased tactile fremitus, anxiety, reduced chest movement on affected side."
Lung Cancer,"Shortness of breath, worsening persistent cough, extreme weight loss, headache, pleural effusion, worsening deep vein thrombosis, extreme weakness, worsening bone pain, extreme clubbing of fingertips."
Pneumothorax,Shortness of breath and racing heart rate (typically intense) along with chest pressure and sudden sharp chest pain correlated with reduced chest movement on affected side and rapid breathing (typically intense).
Pneumonia,"Recurring, intermittent shortness of breath, difficulty breathing, fever, coughing up mucus, mild wheezing, sweating, compromising respiratory function."
COVID-19 Pneumonia,"Asymptomatic loss of smell, concurrent with loss of taste, fatigue, asymptomatic dizziness, severe silent hypoxemia, paroxysmal."
Lung Cancer,"Gradually worsening, progressive weight loss, predominantly debilitating coughing up blood, shortness of breath, debilitating facial swelling, severe weakness, debilitating pleural effusion."
Tuberculosis,Coughing up blood and weight loss (mainly progressive) coinciding with persistent cough and night sweats (consistently significant) together with fever and joint pain (consistently severe) linked to swollen lymph nodes and pain with breathing.
Heart Failure,"Severe shortness of breath, decreased alertness with mild rapid heartbeat, swollen ankles, fatigue, swollen legs, crackling lung sounds."
Heart Failure,"Swollen legs, related to debilitating swollen ankles, rapid heartbeat, mild persistent cough, nausea, debilitating difficulty breathing when lying down, mild swollen abdomen, triggered by irritants."
Pneumothorax,"Severe racing heart rate, shortness of breath, hyperresonance, anxiety, blue discoloration of skin with mild subcutaneous emphysema, dry cough."
Pneumonia,"Severe fever, cough, chest pain, green phlegm with mild shortness of breath, difficulty breathing, malaise."
Heart Failure,"Initially presenting with liver enlargement, crackling lung sounds, swollen legs, Ultimately developing shortness of breath, loss of appetite, fatigue, interfering with daily activities."
Pneumothorax,"Initially presenting with sudden sharp chest pain, shortness of breath, pain in shoulder, Subsequently developing blue discoloration of skin, rapid breathing, increased respiratory rate."
COVID-19 Pneumonia,"Subacute, worsening loss of smell, mainly worsening shortness of breath, remarkably worsening loss of taste, worsening confusion, skin rash, moderate rapid deterioration, interfering with daily activities."
Pneumonia,"Severe cough, fever, shortness of breath, chest pain, rapid heart rate, malaise, headache with mild coughing up mucus, yellow phlegm."
Tuberculosis,"Initially presenting with night sweats, weight loss, unintended weight loss, Subsequently developing hemoptysis, fever, coughing up blood, reducing stamina."
COVID-19 Pneumonia,"High fatigue, progressive loss of taste, high shortness of breath, acute fever, loss of smell, vomiting, nausea, high silent hypoxemia, high chills, high chest pressure, nasal congestion, post-acute sequelae."
Lung Cancer,"Debilitating weight loss, debilitating coughing up blood, chest pain, pleural effusion, progressive paraneoplastic syndromes, pathological fractures, life-limiting unexplained fever."
Pleural Effusion,"Transudate, minimal dry cough, clearly massive shortness of breath, chest pain, difficulty breathing when lying down, massive fever, significant pleural friction rub."
COPD,"Initially presenting with frequent respiratory infections, difficulty breathing, shortness of breath, Eventually developing hyperinflated lungs, barrel chest."
COPD,"Barrel chest and shortness of breath simultaneous with bluish lips or fingernails and chest tightness (characteristically acute exacerbation) accompanied by decreased breath sounds and limited airflow (characteristically acute exacerbation), episodic."
Heart Failure,"Progressive, moderate rapid heartbeat, clearly moderate swollen legs, shortness of breath, obviously debilitating swollen ankles, fatigue, liver enlargement, provoked by deep breathing."
Heart Failure,"Debilitating swollen legs (markedly debilitating), along with increasing fatigue, severe rapid heartbeat, shortness of breath, debilitating swollen ankles, severe difficulty breathing when lying down, constraining movement."
Lung Cancer,"Severe shortness of breath, fatigue, weakness with mild coughing up blood, superior vena cava syndrome, loss of appetite, worse when lying down."
Pleural Effusion,"Severe difficulty breathing when lying down, tracheal deviation, pleurisy with mild dry cough, decreased breath sounds, pleural friction rub, reduced tactile fremitus, paroxysmal."
Heart Failure,"Worsening rapid heartbeat, worsening shortness of breath, acute fatigue, acute weight gain from fluid, intermittent, exacerbated by cold air."
Pneumothorax,"Sudden sharp chest pain related to racing heart rate (strikingly acute) in combination with blue discoloration of skin, induced by respiratory infections."
Tuberculosis,"Lasting over 3 weeks, extreme night sweats, apparently concerning weight loss, predominantly extreme swollen lymph nodes, apparently persistent anemia symptoms, pale skin."
Pleural Effusion,"Recurring, substantial fever, occasionally increasing difficulty breathing when lying down, increasing chest pain, dry cough, shortness of breath, mild reduced tactile fremitus, increased with movement."
Heart Failure,"Debilitating swollen ankles, in conjunction with rapid heartbeat, debilitating swollen legs, fatigue, shortness of breath, S3 heart sound, heart palpitations, moderate decreased alertness, significant chest congestion."
COVID-19 Pneumonia,"Initially presenting with dizziness, loss of taste, dry cough, Later developing vomiting, chest pain, ground glass opacities on imaging."
Heart Failure,"Rapid heartbeat, swollen legs and shortness of breath (significantly slight) in combination with swollen abdomen, swollen ankles and fatigue along with persistent cough, jugular vein distention and need to sleep upright in conjunction with irregular heartbeat and orthopnea."
Heart Failure,"Worsening rapid heartbeat, worsening fatigue, worsening shortness of breath, slight swollen legs, heart palpitations, severe crackling lung sounds, loss of appetite, slight nausea, decompensating."
Pneumonia,"High fever (characteristically low-grade), linked to shortness of breath, sweating, acute decreased oxygen levels, acute shallow breathing, confusion, relapsing."
Tuberculosis,"Initially presenting with pain with breathing, persistent cough, cachexia, Eventually developing weight loss, chest pain, coughing up blood."
Heart Failure,"Initially presenting with edema, decreased alertness, loss of appetite, Later developing fatigue, S3 heart sound, persistent cough, impacting work performance."
Pleural Effusion,"Initially presenting with inability to lie flat, night sweats, dullness on percussion, Finally developing difficulty breathing when lying down, chest pain, shortness of breath."
COPD,"During activity difficulty breathing (mainly during activity), concurrent with at rest shortness of breath, during activity chronic bronchitis, severe hyperinflated lungs, heightened by position changes."
Heart Failure,Edema and pulmonary edema associated with irregular heartbeat and swollen ankles coinciding with S3 heart sound and fatigue (particularly significant).
Pleural Effusion,"Recurring, frequently minimal dry cough, commonly significant chest pain, fever, commonly significant difficulty breathing when lying down, commonly minimal decreased breath sounds, commonly worsening pleurisy, minimal reduced tactile fremitus, impairing functional capacity."
Heart Failure,"Initially presenting with difficulty breathing when lying down, ascites, shortness of breath, Later developing fatigue."
COPD,"During activity wheezing, shortness of breath, persistent cough, worsening with exertion difficulty breathing, chest tightness, hyperinflated lungs, worsening with exertion cyanosis, during activity producing mucus, at rest difficulty completing sentences, during activity decreased exercise tolerance."
Heart Failure,"Debilitating swollen legs, swollen ankles, acute rapid heartbeat, fatigue, orthopnea, difficulty breathing when lying down, exacerbated by cold air."
COVID-19 Pneumonia,"COVID toes and confusion (strikingly severe) together with loss of taste and silent hypoxemia coinciding with shortness of breath and vomiting connected with fever (consistently critical), cyclical."
Tuberculosis,"Severe weight loss, feverish at night with mild coughing up blood, night sweats, loss of appetite, blood in mucus, fluctuating."
Pleural Effusion,"Recent onset, predominantly minimal shortness of breath, minimal fever, moderate dry cough, mediastinal shift, decreased chest movement, moderate pleuritic pain."
Heart Failure,"Acute swollen ankles, along with swollen legs, increasing fatigue, rapid heartbeat, moderate shortness of breath, orthopnea, weight gain from fluid, acute decreased alertness."
Lung Cancer,"Debilitating coughing up blood, accompanied by shortness of breath, chest pain, weight loss, neurological symptoms, debilitating fatigue, significant difficulty swallowing, debilitating pleural effusion, worse in the morning."
Lung Cancer,"Severe persistent cough, coughing up blood, weight loss, shortness of breath, difficulty swallowing, pleural effusion, facial swelling with mild chest pain, horner's syndrome."
Pneumothorax,"Blue discoloration of skin and shortness of breath correlated with chest pressure and racing heart rate (especially significant) connected with increased respiratory rate and fatigue (especially acute) concurrent with cyanosis and rapid breathing (markedly significant), worse after meals."
Tuberculosis,"Gradually worsening, severe coughing up blood, fever, significant persistent cough, especially extreme loss of appetite, extreme chills, especially extreme hemoptysis, impairing functional capacity."
COPD,"Initially presenting with difficulty completing sentences, persistent cough, chest tightness, Eventually developing chronic sputum production, difficulty breathing, producing mucus."
Pleural Effusion,"Persistent, commonly mild fever, frequently massive dry cough, apparently massive chest pain, apparently mild rapid heart rate."
COVID-19 Pneumonia,"Worsening shortness of breath (strikingly progressive), in conjunction with loss of taste, fever, fatigue, dry cough, COVID toes, severe ground glass opacities on imaging, amplified by stress."
Tuberculosis,"Severe night sweats, extreme persistent cough, severe fatigue, pain with breathing, extreme unintended weight loss, enlarged lymph nodes, blood in mucus, joint pain."
Pleural Effusion,"Dry cough linked to fever coupled with difficulty breathing when lying down correlated with rapid breathing coinciding with positional dyspnea (typically mild), relapsing."
Pneumonia,"Difficulty breathing, related to cough, confusion, intense yellow phlegm, acute weakness, intense shallow breathing, triggered by irritants."
Lung Cancer,"Severe chest pain, weight loss with mild neck swelling, intermittent."
Pneumonia,"Cough, related to concerning difficulty breathing, fever, acute decreased breath sounds, cyanosis, high rapid heart rate, worse when lying down."
Pneumothorax,"Tracheal deviation, blue discoloration of skin and racing heart rate (remarkably acute) concurrent with rapid breathing, decreased tactile fremitus and unilateral chest pain (significantly crushing) simultaneous with chest tightness, chest pressure and shortness of breath (remarkably crushing), provoked by deep breathing."
Pneumothorax,"At rest, tension racing heart rate, particularly tension rapid breathing, increased respiratory rate."
Pneumothorax,"Initially presenting with shortness of breath, hyperresonance, rapid breathing, Finally developing racing heart rate, sudden sharp chest pain."
Pneumothorax,"Initially presenting with fatigue, sudden sharp chest pain, shortness of breath, Eventually developing racing heart rate, rapid breathing."
Pleural Effusion,Dry cough and pleuritic pain concurrent with difficulty breathing when lying down and fever linked to chest pain and cyanosis concurrent with shortness of breath (strikingly worsening).
COVID-19 Pneumonia,"Long covid, high loss of taste, worsening shortness of breath, worsening headache, worsening nausea, interfering with daily activities."
Pneumonia,"Shortness of breath, blue lips and decreased oxygen levels linked to cough, sweating and difficulty breathing in conjunction with fever, decreased breath sounds and shallow breathing, triggered by exertion."
Pneumothorax,"Rapid breathing, chest tightness and tracheal deviation (particularly tension) related to blue discoloration of skin, sudden sharp chest pain and subcutaneous emphysema coinciding with racing heart rate, restlessness and hypoxemia (significantly intense) accompanied by shortness of breath (typically life-threatening)."
COVID-19 Pneumonia,"Gradually developing, critical loss of taste, generally severe loss of smell, diarrhea, severe low oxygen saturation, critical rapid deterioration, impairing functional capacity."
Pleural Effusion,"Initially presenting with inability to lie flat, chest pain, mediastinal shift, Subsequently developing difficulty breathing when lying down, shortness of breath."
Pneumonia,"Initially presenting with shortness of breath, shallow breathing, fever, Ultimately developing difficulty breathing, cough, chest pain."
Lung Cancer,"Progressive chest pain, simultaneous with weight loss, difficulty swallowing, life-limiting paraneoplastic syndromes, fatigue."
COVID-19 Pneumonia,"Chronic, progressive loss of smell, asymptomatic shortness of breath, progressive loss of taste, severe conjunctivitis."
Pneumothorax,"Severe rapid breathing, fatigue, blue discoloration of skin, cyanosis with mild shortness of breath, racing heart rate, tracheal deviation, decreased breath sounds."
COPD,"At rest difficulty breathing, during activity shortness of breath, during activity persistent cough, hyperinflated lungs, at rest bluish lips or fingernails, at rest unexplained weight loss, chronic sputum production, during activity difficulty completing sentences."
COPD,"Severe difficulty breathing, persistent cough, prolonged expiration, use of accessory muscles for breathing with mild swollen ankles, paroxysmal."
COVID-19 Pneumonia,"Acute fatigue, in conjunction with moderate dry cough, loss of taste, acute post-exertional malaise, acute dizziness, precipitated by allergens."
Pneumonia,"Intense difficulty breathing, intense shortness of breath, mild chest pain, confusion, persistent."
Pneumothorax,"Severe shortness of breath, hypotension, anxiety, asymmetrical chest movement with mild rapid breathing, cyanosis, hypoxemia, worse with activity."
Lung Cancer,"Severe fatigue, chest wall pain, headache with mild persistent cough, weight loss, reducing stamina."
Tuberculosis,"Initially presenting with joint pain, weakness, hemoptysis, Finally developing fever, malaise, blood in mucus, impacting work performance."
Pneumothorax,Racing heart rate and absent breath sounds (strikingly intense) correlated with unilateral chest pain and rapid breathing accompanied by fatigue and decreased breath sounds.
Tuberculosis,"Significant fever, coughing up blood, moderate weight loss, significant persistent cough, pale skin, chronic."
Heart Failure,"Moderate fatigue, in combination with increasing shortness of breath, swollen legs, crackling lung sounds, loss of appetite, increasing weight gain from fluid."
Pneumonia,"Initially presenting with chest pain, fever, difficulty breathing, Eventually developing shortness of breath, green phlegm."
Pneumonia,"Yellow phlegm, fever and malaise associated with coughing up mucus, shortness of breath and rapid heart rate concurrent with weakness, difficulty breathing and chest pain accompanied by cough and decreased oxygen levels (characteristically persistent), increased with movement."
Pneumothorax,"Significant rapid breathing (mainly tension), simultaneous with tension sudden sharp chest pain, shortness of breath, tracheal deviation, dry cough, hypoxemia, relapsing."
Heart Failure,"Significant swollen ankles, concurrent with rapid heartbeat, debilitating swollen legs, slight chest congestion, heart palpitations, debilitating irregular heartbeat, debilitating ascites."
Lung Cancer,Chest pain related to neck swelling accompanied by recurring respiratory infections (characteristically life-limiting) together with persistent cough correlated with clubbing of fingertips.
Pleural Effusion,"Initially presenting with hiccups, rapid breathing, dry cough, Ultimately developing mediastinal shift, cyanosis, pleurisy."
COPD,"Initially presenting with shortness of breath, fatigue, chest tightness, Ultimately developing wheezing, difficulty breathing."
Lung Cancer,"Initially presenting with chest pain, bone pain, neck swelling, Subsequently developing persistent cough, unexplained fever, weight loss."
Pleural Effusion,"Initially presenting with stony dullness, chest pain, fever, Ultimately developing dyspnea, shortness of breath."
COVID-19 Pneumonia,Chills accompanied by shortness of breath coupled with headache simultaneous with dry cough (generally worsening) correlated with loss of taste.
Pleural Effusion,"Initially presenting with positional dyspnea, shortness of breath, chest pain, Ultimately developing difficulty breathing when lying down, fever, asymmetrical chest expansion, affecting quality of life."
Pneumothorax,"Rapid breathing and cyanosis in conjunction with sudden sharp chest pain and unilateral chest pain along with shortness of breath and asymmetrical chest movement (frequently life-threatening) along with racing heart rate and restlessness, worse after meals."
Pneumothorax,"Sudden sudden sharp chest pain, related to sudden racing heart rate, hyperresonance, sudden onset, decreased tactile fremitus, sharp anxiety, fluctuating, exacerbated by cold air."
Pneumonia,"Chest pain, in combination with intermittent difficulty breathing, shortness of breath, fatigue, worse when lying down."
Tuberculosis,"Treatment-resistant, persistent cough, significant weight loss, notably severe fever, frequently low-grade coughing up blood, significant chills, particularly severe anemia symptoms, triggered by exertion."
Pneumothorax,"Severe anxiety with mild racing heart rate, shortness of breath, sudden sharp chest pain, rapid breathing."
Pleural Effusion,"Severe shortness of breath, dry cough, pleuritic pain, stony dullness, rapid heart rate, severe cough on exertion, malaise, periodic."
Pneumonia,"Acute fever, acute difficulty breathing, chest pain, acute shortness of breath, severe cough, rapid breathing, blue lips, chills, hindering exercise tolerance, improving."
Tuberculosis,"Severe night sweats, persistent cough, fatigue, chest tightness, pain with breathing with mild coughing up blood, weakness, bone pain."
COPD,"Initially presenting with limited airflow, persistent cough, difficulty breathing, Later developing chest tightness, shortness of breath, wheezing."
Pneumothorax,"Initially presenting with shortness of breath, sudden sharp chest pain, racing heart rate, Ultimately developing absent breath sounds, compromising respiratory function."
Tuberculosis,"Initially presenting with weakness, persistent cough, weight loss, Later developing hemoptysis, malaise, bone pain."
Pneumonia,"Decreased breath sounds, shallow breathing and shortness of breath connected with cough, fever and blue lips linked to chest pain, difficulty breathing and wheezing, heightened by position changes."
Pneumothorax,"Severe chest pressure, pain in shoulder, anxiety with mild racing heart rate, rapid breathing, subcutaneous emphysema, asymmetrical chest movement."
Lung Cancer,"Progressive coughing up blood, along with chest pain, persistent horner's syndrome, persistent shoulder pain, wheezing, persistent paraneoplastic syndromes, cyclical."
Pneumonia,"Initially presenting with loss of appetite, shallow breathing, decreased oxygen levels, Subsequently developing malaise, difficulty breathing, cough."
Pneumothorax,"Acute sudden sharp chest pain, together with acute rapid breathing, shortness of breath, racing heart rate, significant unilateral chest pain, acute dry cough, constant."
COPD,"Moderate wheezing, chronic shortness of breath, at rest difficulty breathing, frequent respiratory infections, difficulty completing sentences, moderate swollen ankles, remitting, increased with movement, persistent."
Heart Failure,"Severe rapid heartbeat, swollen legs, swollen abdomen, liver enlargement with mild orthopnea."
Pleural Effusion,"Severe fever, chest pain, dry cough, cyanosis with mild shortness of breath, difficulty breathing when lying down, unilateral symptoms."
Tuberculosis,"Fever, hemoptysis and pleural effusion connected with night sweats, pale skin and weight loss related to persistent cough, blood in mucus and coughing up blood (strikingly extreme), worsened by lying flat."
COPD,Chronic bronchitis coupled with shortness of breath (consistently end-stage) related to chest tightness.
Pneumothorax,"Initially presenting with subcutaneous emphysema, reduced chest movement on affected side, racing heart rate, Ultimately developing sudden sharp chest pain, decreased breath sounds."
Tuberculosis,"Mild night sweats, concurrent with fever, low-grade persistent cough, low-grade coughing up blood, extreme weight loss, blood in mucus, low-grade weakness, loss of appetite, fluctuating."
Heart Failure,"Slight shortness of breath (commonly persistent), linked to rapid heartbeat, persistent swollen legs, swollen ankles, fatigue, slight irregular heartbeat, wheezing, chest congestion, swollen abdomen, continuous."
COPD,"Initially presenting with chest tightness, bluish lips or fingernails, shortness of breath, Subsequently developing decreased exercise tolerance, chronic bronchitis."
Heart Failure,"Persistent swollen ankles, in conjunction with fatigue, rapid heartbeat, persistent shortness of breath, heart palpitations, persistent loss of appetite, increasing decreased alertness, increasing orthopnea."
Lung Cancer,"Severe chest pain with mild persistent cough, weight loss, coughing up blood, shortness of breath, horner's syndrome, constraining movement."
Pneumothorax,Hypotension and shortness of breath in conjunction with hyperresonance and blue discoloration of skin (characteristically stabbing) linked to cyanosis and rapid breathing correlated with subcutaneous emphysema (particularly crushing).
COPD,"Wheezing and bluish lips or fingernails (markedly end-stage) linked to chest tightness and recurring pneumonia concurrent with difficulty breathing and distant heart sounds coinciding with persistent cough and difficulty completing sentences, exacerbated by cold air."
Tuberculosis,Unintended weight loss accompanied by persistent cough coinciding with fever (commonly concerning) together with weight loss.
Pleural Effusion,"Increasing chest pain, increasing shortness of breath, difficulty breathing when lying down, increasing dry cough, increasing fever, increasing mediastinal shift, significant dyspnea, pleurisy."
COVID-19 Pneumonia,"Initially presenting with ground glass opacities on imaging, bluish lips, loss of smell, Eventually developing fever, fatigue, myalgia, decreasing exercise capacity."
Pneumonia,"Fever, chills and yellow phlegm concurrent with shortness of breath, fatigue and difficulty breathing linked to green phlegm, decreased oxygen levels and productive cough (typically acute) accompanied by chest pain (typically mild), episodic."
Pleural Effusion,"Acute, generally massive shortness of breath, moderate chest pain, remarkably severe respiratory distress, generally massive tracheal deviation, positional dyspnea."
Pleural Effusion,"Severe fever, chest pain, shortness of breath, cough on exertion, asymmetrical chest expansion, reduced tactile fremitus with mild dry cough, tracheal deviation, pleuritic pain."
Heart Failure,"Initially presenting with rapid heartbeat, shortness of breath, swollen ankles, Subsequently developing edema, swollen legs."
Lung Cancer,"Severe weight loss, persistent cough, shoulder pain, recurring respiratory infections with mild facial swelling, remitting."
Pleural Effusion,"Severe fever, asymmetrical chest expansion with mild dry cough, night sweats, continuous."
COPD,"Acute exacerbation persistent cough, coupled with significant chest tightness, wheezing, severe producing mucus, morning cough, difficulty completing sentences, significant decreased breath sounds, episodic."
Heart Failure,"Severe shortness of breath, swollen ankles, decreased alertness, ascites with mild swollen legs, rapid heartbeat, worse when lying down."
Lung Cancer,"Severe shortness of breath, weight loss, chest pain, recurring respiratory infections, difficulty swallowing, weakness, pleural effusion with mild coughing up blood, unexplained fever."
Heart Failure,"Recurring, severe shortness of breath, increasing fatigue, evidently severe weight gain from fluid, severe need to sleep upright, debilitating liver enlargement."
Heart Failure,"Severe swollen ankles, fatigue, loss of appetite with mild swollen legs."
Pneumonia,"Persistent fever (typically low-grade), accompanied by persistent cough, shortness of breath, persistent chest pain, low-grade confusion, blue lips, acute cyanosis, loss of appetite, worse in the morning."
Pleural Effusion,"Orthopnea, stony dullness and mediastinal shift (predominantly substantial) linked to shortness of breath, rapid heart rate and reduced tactile fremitus (notably minimal) coinciding with chest pain, fever and dry cough coupled with difficulty breathing when lying down and unilateral symptoms (predominantly minimal), worsened by lying flat."
Pleural Effusion,Chest pain and asymmetrical chest expansion (typically massive) correlated with difficulty breathing when lying down and dry cough (evidently massive) along with pleurisy and rapid heart rate simultaneous with shortness of breath and fever.
Tuberculosis,"Severe fatigue with mild night sweats, coughing up blood, weight loss, persistent cough, fever, enlarged lymph nodes, weakness, pleural effusion, hemoptysis, limiting mobility."
Pneumothorax,"Restlessness, decreased breath sounds and unilateral chest pain (clearly acute) simultaneous with rapid breathing, fatigue and cyanosis (typically intense) simultaneous with racing heart rate, sudden sharp chest pain and absent breath sounds, cyclical."
Pleural Effusion,"Difficulty breathing when lying down coinciding with fever linked to asymmetrical chest expansion related to dry cough (predominantly severe) connected with dullness on percussion (markedly increasing), cyclical."
Pleural Effusion,"Recurring, substantial difficulty breathing when lying down, severe shortness of breath, persistent chest pain, severe dry cough, fever, persistent respiratory distress, occasionally severe positional dyspnea, clearly substantial decreased breath sounds, provoked by deep breathing."
COVID-19 Pneumonia,"Fatigue and body aches (generally persistent) related to dry cough and skin rash together with loss of taste and loss of smell (particularly worsening) connected with fever and sore throat, triggered by irritants."
Pneumothorax,"Acute rapid breathing, intense shortness of breath, intense sudden sharp chest pain, intense sudden onset."
COVID-19 Pneumonia,"Acute, remarkably moderate fatigue, clearly moderate dry cough, critical shortness of breath, critical loss of smell, commonly moderate fever, confusion, acute sore throat, critical ageusia."
COVID-19 Pneumonia,"Loss of smell, along with dry cough, loss of taste, vomiting, sore throat, chest pain."
Pleural Effusion,"Chronic, fever, persistent difficulty breathing when lying down, remarkably persistent respiratory distress, significantly persistent rapid heart rate, orthopnea, amplified by stress."
COVID-19 Pneumonia,"Progressive, obviously critical fatigue, critical dry cough, critical bluish lips, critical myalgia, particularly progressive silent hypoxemia."
Heart Failure,"Acute rapid heartbeat, debilitating shortness of breath, debilitating swollen legs, fatigue, irregular heartbeat, debilitating need to sleep upright, cyclical."
Pneumothorax,"Racing heart rate, rapid breathing, tension sudden sharp chest pain, life-threatening shortness of breath, blue discoloration of skin, hypoxemia, life-threatening absent breath sounds, limiting mobility."
Lung Cancer,"Severe shortness of breath, weight loss, weakness, horner's syndrome, recurring respiratory infections, deep vein thrombosis with mild difficulty swallowing."
COPD,"Initially presenting with difficulty breathing, pursed-lip breathing, chest tightness, Eventually developing shortness of breath, persistent cough, interfering with daily activities."
COPD,"Persistent, significantly end-stage wheezing, severe difficulty breathing, persistent cough, end-stage chest tightness, shortness of breath, significantly mild difficulty completing sentences, mild chronic bronchitis, severe use of accessory muscles for breathing."
Heart Failure,"Jugular vein distention, swollen ankles and rapid heartbeat simultaneous with swollen legs, shortness of breath and loss of appetite in conjunction with paroxysmal nocturnal dyspnea, ascites and fatigue linked to irregular heartbeat and reduced exercise tolerance (markedly persistent)."
Heart Failure,Rapid heartbeat (evidently increasing) connected with heart palpitations coupled with fatigue.
